Credito_Cuenta,Debito_Cuenta,FechaDeEntrada,Modulo,Cantidad,CodigoDeTransacción,NumeroDeTransacción,CR_Socio,DR_Socio,DR_Account,CR_Account
20001.01.00001845.0000,50003.01,1/31/2026,FIN DE MES,169.34,Pago De Interes 1/31/2026,Pago De Interes,1845,0,50003,20001
20001.01.00001852.0000,50003.01,1/31/2026,FIN DE MES,3.61,Pago De Interes 1/31/2026,Pago De Interes,1852,0,50003,20001
20001.01.00001856.0000,50003.01,1/31/2026,FIN DE MES,5.02,Pago De Interes 1/31/2026,Pago De Interes,1856,0,50003,20001
20001.01.00001861.0000,50003.01,1/31/2026,FIN DE MES,1.28,Pago De Interes 1/31/2026,Pago De Interes,1861,0,50003,20001
20001.01.00001865.0000,50003.01,1/31/2026,FIN DE MES,3.42,Pago De Interes 1/31/2026,Pago De Interes,1865,0,50003,20001
20001.01.00001872.0001,50003.01,1/31/2026,FIN DE MES,1.03,Pago De Interes 1/31/2026,Pago De Interes,1872,0,50003,20001
20001.01.00001876.0000,50003.01,1/31/2026,FIN DE MES,12.34,Pago De Interes 1/31/2026,Pago De Interes,1876,0,50003,20001
20001.01.00001877.0000,50003.01,1/31/2026,FIN DE MES,6.07,Pago De Interes 1/31/2026,Pago De Interes,1877,0,50003,20001
20001.01.00001881.0000,50003.01,1/31/2026,FIN DE MES,21.36,Pago De Interes 1/31/2026,Pago De Interes,1881,0,50003,20001
20001.01.00001883.0000,50003.01,1/31/2026,FIN DE MES,10.12,Pago De Interes 1/31/2026,Pago De Interes,1883,0,50003,20001
20001.01.00001904.0000,50003.01,1/31/2026,FIN DE MES,6.87,Pago De Interes 1/31/2026,Pago De Interes,1904,0,50003,20001
20001.01.00001906.0000,50003.01,1/31/2026,FIN DE MES,15.66,Pago De Interes 1/31/2026,Pago De Interes,1906,0,50003,20001
20001.01.00001912.0000,50003.01,1/31/2026,FIN DE MES,0.04,Pago De Interes 1/31/2026,Pago De Interes,1912,0,50003,20001
20001.01.00001914.0000,50003.01,1/31/2026,FIN DE MES,40.08,Pago De Interes 1/31/2026,Pago De Interes,1914,0,50003,20001
20001.01.00001915.0000,50003.01,1/31/2026,FIN DE MES,34.16,Pago De Interes 1/31/2026,Pago De Interes,1915,0,50003,20001
20001.01.00001917.0000,50003.01,1/31/2026,FIN DE MES,1.62,Pago De Interes 1/31/2026,Pago De Interes,1917,0,50003,20001
20001.01.00001924.0000,50003.01,1/31/2026,FIN DE MES,0.45,Pago De Interes 1/31/2026,Pago De Interes,1924,0,50003,20001
20001.01.00001934.0000,50003.01,1/31/2026,FIN DE MES,26.4,Pago De Interes 1/31/2026,Pago De Interes,1934,0,50003,20001
20001.01.00001939.0000,50003.01,1/31/2026,FIN DE MES,27.58,Pago De Interes 1/31/2026,Pago De Interes,1939,0,50003,20001
20001.01.00001942.0000,50003.01,1/31/2026,FIN DE MES,1.98,Pago De Interes 1/31/2026,Pago De Interes,1942,0,50003,20001
20001.01.00001948.0000,50003.01,1/31/2026,FIN DE MES,2.03,Pago De Interes 1/31/2026,Pago De Interes,1948,0,50003,20001
20001.01.00001980.0000,50003.01,1/31/2026,FIN DE MES,0.24,Pago De Interes 1/31/2026,Pago De Interes,1980,0,50003,20001
20001.01.00001982.0000,50003.01,1/31/2026,FIN DE MES,11.03,Pago De Interes 1/31/2026,Pago De Interes,1982,0,50003,20001
20001.01.00001985.0000,50003.01,1/31/2026,FIN DE MES,3.43,Pago De Interes 1/31/2026,Pago De Interes,1985,0,50003,20001
20001.01.00002010.0000,50003.01,1/31/2026,FIN DE MES,22.92,Pago De Interes 1/31/2026,Pago De Interes,2010,0,50003,20001
20001.01.00002030.0000,50003.01,1/31/2026,FIN DE MES,22.7,Pago De Interes 1/31/2026,Pago De Interes,2030,0,50003,20001
